ismainentityoldpayeebankind,ki_activitywithsimilaramounts_offlineretail_externalinternationaltransfer_v2,ki_firsttransactionbymainentity_offlineretail_externalinternationaltransfer_v1,ki_unusualnoemailnotification_offlineretail_externalinternationaltransfer_v1,ki_suspiciousamountunttlamt_offlineretail_externalinternationaltransfer_v2,ki_lowtotalamount_offlineretail_externalinternationaltransfer_v1,accountstatus,ki_suspiciousamountunttlamt_offlineretail_externalinternationaltransfer_v1,finding,payeeroutingtype,requestedamountnormalizedcurrency,ki_recentnamechange_offlineretail_externalinternationaltransfer_v1,ki_recentaddresschange_offlineretail_externalinternationaltransfer_v1,ki_recentemailchange_offlineretail_externalinternationaltransfer_v1,trxaccounttype,phasebmodeltrxscore,cs44,requestedamountasentered,actimizedayssinceaccounthaddebitandcreditonsameday,ki_activitywithsimilaramounts_offlineretail_externalinternationaltransfer_v1,model_offlineretail_externalinternationaltransfer_score,partycountrycd,ispayeehf
0,,0,138,,44090,15,,1,SWT,44090,2512,2497,2482,FX,85,FWT,44090,171,,85,us,1
0,,0,125,,13500,99,,1,SWT,13500,,5369,3248,DDA,55,FWT,13500,5,,55,US,1
0,,113,14,,30000,4,,1,ABA,30000,2343,2328,502,DDA,35,FWT,30000,14,,35,US,1
0,,0,81,,3000,4,,1,ABA,3000,3713,1698,2264,DDA,55,FWT,3000,0,,55,US,1
0,,0,,,30020,4,,1,SWT,30020,101,72,100,DDA,85,FWT,30020,,,75,us,1
0,,0,108,,243000,99,,1,SWT,195000,2362,2362,2300,FX,105,FWT,195000,13,,105,US,1
0,,33,60,,24200,15,,1,ABA,24200,6209,6154,1762,,105,FWT,24200,42,,5,US,1
0,,0,735,,10750,15,,1,SWT,10750,2386,89,145,FX,70,FWT,10750,28,,70,GR,1
0,,0,,,5000,4,,1,ABA,5000,369,311,368,DDA,0,FWT,5000,,,0,US,1
0,,0,57,,550000,99,,1,SWT,550000,2509,2494,1520,DDA,55,FWT,550000,146,,55,US,1
0,,0,,,8500,4,,1,ABA,8500,115,68,,DDA,50,FWT,8500,,,40,CA,1
0,,792,462,3158932.95,934957.76,4,934957.76,1,ABA,934957.76,5348,688,1812,DDA,0,FWT,934957.76,57,,0,US,1
0,,0,246,,12870.5,15,,1,SWT,12870.5,2022,3828,2021,DDA,55,FWT,12870.5,0,,55,US,1
0,,274,184,,9000,3,,1,ABA,9000,,3125,3155,DDA,205,FWT,9000,12,,205,US,1
0,,0,212,,601.5,3,,1,SWT,601.5,1777,8754,1777,DDA,60,FWT,601.5,7,,60,US,1
0,,35,23,,57000,4,,1,ABA,57000,2420,2405,2326,DDA,50,FWT,57000,13,,50,US,1
0,,32,331,,10000,3,,1,ABA,10000,,6802,2907,None,0,FWT,10000,20,,0,US,1
0,,0,144,,231250,99,,1,SWT,231250,,8860,7259,DDA,80,FWT,231250,214,,70,US,1
0,,0,,,275000,4,,1,ABA,275000,80,80,79,DDA,75,FWT,275000,24,,65,IL,1
0,,796,,,24486,4,,1,SWT,24486,6005,2803,,FX,348,FWT,24486,13,,248,US,1
0,,0,,,25000,1,,1,ABA,25000,64,59,62,DDA,15,FWT,25000,,,15,US,1
0,,0,107,,12277.9,99,,1,ABA,12277.9,5581,6549,1249,DDA,55,FWT,12277.9,3,,55,US,1
0,,74,,,41000,3,,1,SWT,41000,79,1478,79,FX,65,FWT,41000,,,55,ca,1
0,,7,,,20000,1,,1,ABA,20000,13,1412,12,FX,20,FWT,20000,,,10,US,1
1,,25,,,11000,4,,1,ABA,11000,4242,32,1325,DDA,-35,FWT,11000,8,,-35,PH,1
0,,0,,,31750,99,,1,ABA,31750,3867,486,2259,None,40,FWT,31750,264,,40,US,1
0,,0,,,5000,99,,1,SWT,5000,157,141,157,DDA,30,FWT,5000,,,30,US,1
0,,21,100,,70000,15,,1,SWT,70000,3515,2798,3486,None,35,FWT,70000,21,,35,CA,1
1,,850,34,,30000,4,,1,ABA,30000,5694,9993,4030,DDA,25,FWT,30000,70,,25,US,1
0,,0,230,,43000,1,,1,ABA,43000,,8085,3895,DDA,55,FWT,43000,10,,55,US,1
0,,0,270,,18100,99,,1,ABA,18100,3474,3474,2358,FX,85,FWT,18100,7,,85,US,1
0,,0,,,78500.67,1,,1,SWT,78500.67,97,59,,FX,83,FWT,78500.67,81,,83,US,1
0,,184,21,,3000,4,,1,SWT,3000,4401,59,1484,DDA,120,FWT,3000,13,,20,US,1
0,,1,,,150000,99,,1,ABA,95000,32,19,1,FX,32,FWT,95000,1,,32,US,1
0,,13,130,,250000,99,,1,SWT,250000,4789,8829,4637,DDA,55,FWT,250000,11,,55,US,1
0,,0,,,15000,99,,1,ABA,15000,442,429,441,,60,FWT,15000,,,60,US,1
0,,0,13,,20000,4,,1,ABA,20000,,3505,6140,DDA,70,FWT,20000,,,70,US,1
0,,670,142,,1100,99,,1,SWT,1100,2676,246,627,DDA,110,FWT,1100,13,,10,US,1
0,,0,323,,34879,99,,1,SWT,34879,2361,2346,254,DDA,55,FWT,34879,0,,55,us,1
0,,0,,,19375,99,,1,SWT,19375,3021,70,1546,DDA,40,FWT,19375,,,40,US,1
0,,40,65,,40000,15,,1,SWT,40000,2432,142,2431,FX,50,FWT,40000,6,,50,US,1
0,,0,148,,3500,1,,1,ABA,3500,931,794,305,DDA,140,FWT,3500,1,,40,US,1
0,,0,297,,2200,99,,1,SWT,2200,3560,3558,406,DDA,40,FWT,2200,82,,40,ET,1
0,,0,68,,35000,1,,1,SWT,35000,2367,513,1304,DDA,80,FWT,35000,0,,70,US,1
0,,0,73,,41400,4,,1,SWT,41400,2601,611,2430,DDA,70,FWT,41400,382,,70,CA,1
0,,0,,,15250,4,,1,SWT,15250,2450,2317,911,DDA,60,FWT,15250,2,,60,US,1
0,,161,,,16000,4,,1,ABA,16000,5472,4243,2037,FX,40,FWT,16000,21,,40,CA,1
0,,0,70,,10000,1,,1,ABA,10000,1008,945,1008,DDA,25,FWT,10000,25,,25,US,1
0,,6,,,50000,4,,1,ABA,50000,2440,2425,25,DDA,40,FWT,50000,531,,40,US,1
0,,0,412,,4000,99,,1,SWT,2000,,5679,2847,DDA,60,FWT,2000,28,,60,US,1
0,,0,,,55000,99,,1,ABA,55000,31,18,30,FX,30,FWT,55000,0,,30,ET,1
0,,2,,,10300,1,,1,SWT,10300,81,57,80,DDA,65,FWT,10300,4,,65,us,1
0,,0,87,,112600,99,,1,ABA,70000,4014,4013,4012,,70,FWT,70000,15,,70,us,1
0,,5,69,,4000,4,,1,ABA,4000,4833,575,3793,DDA,55,FWT,4000,19,,55,US,1
0,,0,101,,100000,99,,1,ABA,100000,4101,919,640,DDA,25,FWT,100000,511,,25,IL,1
0,,52,221,,128085.24,99,,1,ABA,128085.24,,8803,6781,FX,105,FWT,128085.24,11,,5,US,1
0,,368,92,11917,10000,4,10000,1,SWT,10000,2578,2101,1337,FX,5,FWT,10000,4,,5,US,1
0,,317,57,,26000,1,,1,ABA,26000,5385,4727,709,FX,35,FWT,26000,13,,35,GR,1
0,,7,,,350,99,,1,SWT,350,,6983,2165,None,63,FWT,350,,,63,us,1
0,,0,237,,23274,99,,1,SWT,23274,2338,2293,1307,DDA,70,FWT,23274,8,,70,US,1
0,,843,107,,1000,99,,1,ABA,1000,496,1376,496,DDA,25,FWT,1000,1,,15,US,1
0,,39,554,,10200,4,,1,SWT,10200,1810,15,1735,FX,43,FWT,10200,0,,43,US,1
0,,0,,,40000,15,,1,ABA,40000,2831,2168,2144,DDA,40,FWT,40000,7,,40,US,1
0,,9,125,,10000,15,,1,SWT,10000,2567,1824,2555,DDA,375,FWT,10000,9,,275,US,1
